Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,4.600000,4.650000,4.590000,4.650000,4.650000,11371
2019-11-05,4.650000,4.650000,4.640000,4.650000,4.650000,1769
2019-11-06,4.650000,4.650000,4.580000,4.580000,4.580000,970
2019-11-07,4.610000,4.620000,4.610000,4.610000,4.610000,5096
2019-11-08,4.620000,4.630000,4.580000,4.580000,4.580000,20023
2019-11-11,5.220000,5.540000,5.220000,5.450000,5.450000,284785
2019-11-12,5.450000,5.460000,5.430000,5.450000,5.450000,128883
2019-11-13,5.460000,5.460000,5.450000,5.450000,5.450000,93164
2019-11-14,5.450000,5.460000,5.440000,5.450000,5.450000,461749
2019-11-15,5.450000,5.450000,5.400000,5.430000,5.430000,409279
2019-11-18,5.430000,5.430000,5.390000,5.420000,5.420000,335656
2019-11-19,5.420000,5.430000,5.390000,5.400000,5.400000,166466
2019-11-20,5.410000,5.430000,5.380000,5.430000,5.430000,12662
2019-11-21,5.400000,5.400000,5.380000,5.400000,5.400000,47668
2019-11-22,5.390000,5.400000,5.390000,5.390000,5.390000,155711
2019-11-25,5.400000,5.400000,5.390000,5.400000,5.400000,54903
2019-11-26,5.400000,5.400000,5.390000,5.400000,5.400000,61768
2019-11-27,5.400000,5.400000,5.390000,5.390000,5.390000,54374
2019-11-28,5.390000,5.400000,5.370000,5.390000,5.390000,32578
2019-11-29,5.400000,5.400000,5.380000,5.390000,5.390000,73966
2019-12-02,5.360000,5.380000,5.360000,5.380000,5.380000,48916
2019-12-03,5.370000,5.390000,5.370000,5.370000,5.370000,34930
2019-12-04,5.360000,5.380000,5.360000,5.380000,5.380000,8894
2019-12-05,5.360000,5.370000,5.360000,5.360000,5.360000,63565
2019-12-06,5.370000,5.370000,5.310000,5.310000,5.310000,25043
2019-12-09,5.310000,5.310000,5.000000,5.260000,5.260000,53086
2019-12-10,5.280000,5.290000,5.280000,5.280000,5.280000,3050
2019-12-11,5.280000,5.280000,5.250000,5.250000,5.250000,23673
